    #         X           Y           Z        CHARGE     ATOM    DISTANCE
  -------------------------------------------------------------------------
    1      2.5300      1.9688      7.0500      0.4747      16      0.0250
    2      2.5667      2.2863      7.2000      0.0237      16      0.3620
    3      2.6767      2.4768      7.2000      0.0495      30      0.4627
    4      2.7133      2.5403      7.2000      0.0940      30      0.3895
    5      2.7500      2.6038      7.2000      0.0689      30      0.3164
    6      2.6033      2.3498      7.2000      0.0335      16      0.4265
    7      2.5300      2.2228      7.2000      0.0218      16      0.3016
    8      2.8783      2.8896      7.2000      5.4983      30      0.0257
    9      2.4933      2.1593      7.2000      0.0187      16      0.2482
   10      2.6400      2.4133      7.2000      0.0286      16      0.4934
   11      2.4383      2.4451      7.3000      0.0013      16      0.5522
   12      2.4017      2.5086      7.3000      0.0024      16      0.6160
   13      2.3650      2.5721      7.3000      0.0022      30      0.6264
   14      2.3283      2.6356      7.3000      0.0020      30      0.6301
   15      2.2917      2.6991      7.3000      0.0018      30      0.6421
   16      2.2550      2.7626      7.3000      0.0016      30      0.6621
   17      2.2183      2.8261      7.3000      0.0015      30      0.6893
   18      2.1450      2.9531      7.3000      0.0019      17      0.7468
   19      2.0717      3.0802      7.3000      0.0016      17      0.6389
   20      2.1083      3.0167      7.3000      0.0021      17      0.6911
   21      2.7317      3.1437      7.2000      0.1306      30      0.3068
   22      2.0350      3.1437      7.3000      0.0015      17      0.5913
   23      2.6950      3.2072      7.2000      0.0866      30      0.3800
   24      1.9983      3.2072      7.3000      0.0014      17      0.5494
   25      2.6583      3.2707      7.2000      0.0498      30      0.4532
   26      2.6217      3.3342      7.2000      0.0358      17      0.5121
   27      2.5850      3.3977      7.2000      0.0504      17      0.4422
   28      2.5483      3.4612      7.2000      0.0529      17      0.3737
   29      1.9617      3.2707      7.3000      0.0012      17      0.5145
   30      2.2550      3.6517      7.2000      0.3904      17      0.0386
   31      1.9250      3.3342      7.3000      0.0012      17      0.4883
   32      2.4017      3.5247      7.2000      0.0127      17      0.2221
   33      2.5117      3.5247      7.2000      0.0200      17      0.3074
   34      2.2917      3.9058      7.2000      0.0021      17      0.2226
   35      2.3650      3.7788      7.2000      0.0095      17      0.1467
   36      2.3283      3.8423      7.2000      0.0023      17      0.1737
   37      2.4017      3.7152      7.2000      0.0109      17      0.1537
   38      2.4750      3.5882      7.2000      0.0202      17      0.2452
   39      2.4383      3.6517      7.2000      0.0164      17      0.1911
   40      8.5617     -3.5882      7.2000      0.0067       9      0.3152
   41      8.1950     -2.9531      7.2000      6.1681      23      0.0170
   42      8.5983     -3.6517      7.2000      0.0105       9      0.2556
   43      8.6533     -3.6200      7.2000      0.0064       9      0.2208
   44      8.8183     -3.7152      7.2500      0.4189       9      0.0369
   45      8.5250     -3.5247      7.2000      0.0074       9      0.3796
   46      8.6350     -3.7152      7.2000      0.0071       9      0.2052
   47      8.6167     -3.5565      7.2000      0.0246       9      0.2876
   48      8.3417     -3.2072      7.2000      0.0257      23      0.3087
   49      8.3783     -3.2707      7.2000      0.0170      23      0.3820
   50      6.3433     -4.3186      7.3500      5.0912      28      0.0275
   51      7.5900     -4.5091      7.2500      0.0020      28      1.2486
   52      7.4617     -4.2233      7.2000      0.0023      28      1.1173
   53      7.6267     -4.5726      7.2500      0.0018      17      1.2729
   54      8.6717     -3.7788      7.2000      0.0033       9      0.1721
   55      8.4150     -3.3342      7.2000      0.0130      23      0.4553
   56      8.7083     -3.8423      7.2000      0.0037       9      0.1670
   57      3.2450      5.6205      7.2000      0.0022       9      0.1922
   58      9.0750     -3.2707      7.3500      0.0012       9      0.5395
   59      8.9650     -3.0802      7.3500      0.0012       9      0.6824
   60      8.9283     -3.0167      7.3500      0.0014       9      0.7385
   61      9.2950     -2.7626      7.3000      0.0010      12      1.0744
   62      8.8550     -2.8896      7.3500      0.0014      23      0.6807
   63      9.2583     -2.6991      7.3000      0.0010      12      1.0047
   64      8.8183     -2.8261      7.3500      0.0014      23      0.6528
   65      8.7817     -2.7626      7.3500      0.0018      23      0.6322
   66      8.7450     -2.6991      7.3500      0.0018      23      0.6197
   67      8.3600     -2.6674      7.2000      0.0168      23      0.3165
   68      8.7083     -2.6356      7.3500      0.0027      23      0.6157
   69      8.3967     -2.6038      7.2000      0.0358      23      0.3898
   70      8.4333     -2.5403      7.2000      0.0294      23      0.4631
   71      8.4700     -2.4768      7.2000      0.0075      12      0.4937
   72      8.5067     -2.4133      7.2000      0.0095      12      0.4266
   73      8.6717     -2.5721      7.3500      0.0020      23      0.6204
   74      8.3417     -2.5721      7.2000      0.0507      23      0.3934
   75      8.4517     -2.3816      7.2000      0.0036      12      0.4075
   76      8.5433     -2.3498      7.2000      0.0087      12      0.3620
   77      8.5250     -2.2546      7.2000      0.0059      12      0.2737
   78      8.5800     -2.2863      7.2000      0.0115      12      0.3014
   79      8.5617     -2.0005      7.1000      0.5291      12      0.0023
   80      8.6350     -2.5086      7.3500      0.0023      12      0.5689
   81      8.4883     -2.3181      7.2000      0.0132      12      0.3393
   82      8.6167     -2.2228      7.2000      0.0073      12      0.2477
   83      8.5983     -2.4451      7.3500      0.0023      12      0.5093
   84      3.6117      6.1921      7.3500      0.0012       9      0.5044
   85      8.8917     -2.9531      7.3500      0.0013      23      0.7150
   86      4.7300      4.2551      7.3500      5.4315      29      0.0247
   87      2.4567      2.0958      7.2000      0.0144      16      0.2074
   88      2.1817      2.8896      7.3000      0.0014      30      0.7230
   89      3.6483      6.1286      7.3500      0.0011       9      0.4780
   90      3.3183      5.4935      7.2000      0.0011       9      0.2954
